SimulationTime	VehicleID	x	y	speed	angle
1000.00	PKW5354	2504.51	593.45	0.00	295.90
1000.00	PKW4544	2894.21	2201.24	13.89	159.06
1000.00	PKW4859	1867.50	2352.30	6.50	190.66
1000.00	PKW4964	1764.04	1843.97	0.00	285.75
1000.00	PKW3876	2564.69	1254.89	0.00	353.34
1000.00	PKW4405	2844.39	2300.51	0.00	144.95
1000.00	PKW5518	2618.40	951.33	0.00	136.07
1000.00	PKW4888	2714.75	2480.01	13.89	308.66
1000.00	PKW4848	1917.77	2529.63	13.89	19.20
1000.00	LKW277	2615.87	833.55	13.89	100.05
1000.00	PKW4268	2561.91	1313.95	0.00	3.19
1000.00	PKW4717	1452.60	678.46	13.89	309.33
1000.00	PKW5223	1761.39	582.77	0.00	298.14
1000.00	PKW5076	2802.16	2466.49	0.00	178.68
1000.00	PKW5136	2788.24	2125.13	9.90	199.52
1000.00	PKW5542	2521.02	2598.31	13.89	129.00
1000.00	PKW4438	1922.53	1429.77	13.89	207.76
1000.00	PKW3886	2347.51	2679.39	5.20	271.54
1000.00	PKW5058	2289.96	2209.04	13.89	312.59
1000.00	routeFlow_bus34Ha.1	2808.71	2460.20	0.00	178.68
1000.00	PKW4732	1928.10	2549.19	13.89	20.30
1000.00	PKW5423	2838.83	2189.56	0.00	21.07
1000.00	PKW5416	1485.84	645.24	13.89	122.36
1000.00	PKW5472	2426.43	1934.79	5.09	337.02
1000.00	PKW5241	2344.26	955.61	13.89	287.69
1000.00	PKW4982	3023.62	729.14	13.89	104.88
1000.00	PKW4035	1292.55	1361.13	1.30	319.15
1000.00	PKW4877	2806.04	2437.10	0.00	178.68
1000.00	PKW4141	407.51	1058.11	13.89	267.77
1000.00	PKW4816	1595.65	1139.47	13.89	302.03
1000.00	PKW4966	1974.57	2655.56	5.17	25.11
1000.00	routeFlow_bus34Hc.1	2547.84	1323.03	7.38	160.99
1000.00	PKW5291	2894.52	2277.70	13.89	337.63
1000.00	PKW5361	2592.99	2537.62	13.89	129.77
1000.00	PKW4829	2880.82	2245.20	13.89	159.07
1000.00	PKW4213	1748.20	2860.43	13.89	308.46
1000.00	PKW4866	2063.17	1040.60	6.46	280.28
1000.00	PKW5190	2579.92	2019.65	13.89	262.21
1000.00	PKW4624	3719.59	1940.71	13.89	93.65
1000.00	PKW5340	2333.50	1927.23	13.89	238.06
1000.00	PKW5522	2810.56	2209.81	0.00	128.55
1000.00	PKW5085	2282.84	982.22	13.89	288.14
1000.00	PKW4891	1802.25	524.37	13.89	116.23
1000.00	PKW4310	1935.51	2569.24	13.89	20.30
1000.00	PKW3764	1103.44	1972.56	13.89	345.61
1000.00	PKW4944	1478.25	1137.08	0.00	199.12
1000.00	PKW5192	2347.91	957.80	13.89	287.69
1000.00	PKW5328	2623.83	852.93	0.00	226.76
1000.00	PKW4760	2437.70	901.60	13.89	110.18
1000.00	PKW4948	1870.09	2366.06	6.50	190.71
1000.00	PKW5532	1378.41	1881.99	0.00	4.50
1000.00	PKW5016	2208.74	461.39	0.00	212.23
1000.00	PKW5331	2712.29	814.56	13.89	103.81
1000.00	PKW4968	2845.23	2269.48	13.89	183.56
1000.00	LKW237	1809.07	1048.44	0.00	253.31
1000.00	PKW4992	1748.10	1851.70	1.06	288.41
1000.00	PKW5338	1890.45	2032.90	13.89	349.48
1000.00	LKW223	2855.57	2225.81	0.00	15.66
1000.00	PKW5031	1538.17	1163.81	13.89	300.95
1000.00	PKW4970	1408.35	1226.54	4.70	127.45
1000.00	PKW5445	1976.63	2718.36	5.20	202.90
1000.00	PKW5527	1347.32	3158.43	13.89	128.46
1000.00	PKW4849	2706.82	2036.52	13.89	261.91
1000.00	PKW4861	2063.75	1043.75	6.46	280.28
1000.00	PKW4663	1745.20	1080.00	11.24	270.54
1000.00	PKW5473	2538.48	583.07	13.22	291.56
1000.00	PKW3777	2350.40	2682.56	7.80	273.09
1000.00	PKW4799	2613.87	881.48	0.00	189.51
1000.00	PKW5050	1637.83	1881.37	6.50	100.24
1000.00	PKW4840	2822.45	2551.03	13.89	358.75
1000.00	PKW4792	1484.86	651.71	0.00	280.25
1000.00	PKW5077	2805.17	2474.59	0.00	178.68
1000.00	PKW4436	1720.19	1860.99	2.92	288.41
1000.00	PKW5261	1860.53	2754.84	13.89	128.46
1000.00	PKW4904	2823.86	2486.87	13.89	358.75
1000.00	PKW5499	1075.93	1989.63	13.83	165.61
1000.00	PKW4890	1786.11	1838.99	0.00	281.03
1000.00	PKW4146	2036.65	1728.96	13.89	112.64
1000.00	PKW5229	2819.10	786.78	13.89	104.88
1000.00	PKW4710	3698.44	1945.27	13.89	93.65
1001.00	PKW5354	2504.51	593.45	0.00	295.90
1001.00	PKW4544	2901.45	2189.33	13.89	146.70
1001.00	PKW4859	1866.30	2345.91	6.50	190.66
1001.00	PKW4964	1761.64	1844.95	2.60	289.15
1001.00	PKW3876	2564.69	1254.89	0.00	353.34
1001.00	PKW4405	2844.39	2300.51	0.00	144.95
1001.00	PKW5518	2618.40	951.33	0.00	136.07
1001.00	PKW4888	2703.89	2488.69	13.89	308.66
1001.00	PKW4848	1922.34	2542.75	13.89	19.20
