SimulationTime	VehicleID	x	y	speed	angle
1000.00	478	3647.19	1529.43	6.54	0.46
1000.00	436	4305.39	1572.25	16.05	88.19
1000.00	481	3874.21	1906.18	13.59	5.51
1000.00	467	3841.27	1631.57	12.54	171.98
1000.00	425	4754.22	1590.66	0.00	88.74
1000.00	437	2721.19	1582.30	14.29	181.79
1000.00	466	3217.23	2315.43	13.01	269.05
1000.00	495	3268.61	1857.19	7.87	348.05
1000.00	409	3858.04	1719.45	11.12	8.22
1000.00	457	2679.99	1853.04	2.20	195.13
1000.00	485	3004.96	2494.04	11.90	103.12
1000.00	435	4134.44	2172.76	5.33	21.94
1000.00	348	4437.72	1748.78	3.98	5.48
1000.00	445	4769.22	1590.99	0.00	88.74
1000.00	483	2965.21	1527.30	14.16	87.92
1000.00	458	3727.22	1470.81	4.81	4.87
1000.00	476	4568.81	1624.40	14.60	193.83
1000.00	484	3894.07	1549.83	14.07	88.94
1000.00	465	4265.96	1987.10	21.76	178.57
1000.00	456	4491.79	1598.26	17.29	267.22
1000.00	403	4014.05	2267.96	4.96	101.24
1000.00	440	3323.89	1784.52	7.84	5.35
1000.00	424	4190.61	1887.44	14.68	123.88
1000.00	494	3311.05	2458.49	0.23	28.78
1000.00	490	4300.63	2417.13	0.00	93.75
1000.00	428	3948.66	1579.33	17.01	268.38
1000.00	414	3392.68	1561.77	17.44	268.32
1000.00	474	3343.27	2575.21	12.24	156.39
1000.00	473	3947.94	1547.93	11.87	88.66
1000.00	381	3144.48	1733.92	11.95	357.46
1000.00	427	3853.25	2138.37	13.65	121.93
1000.00	316	4203.00	2476.66	7.32	261.01
1000.00	469	3207.96	2137.97	14.66	2.39
1000.00	370	3431.73	2339.48	13.13	237.77
1000.00	486	4306.35	2412.78	15.33	185.14
1000.00	367	2851.85	1553.30	10.19	253.99
1000.00	417	3337.86	1569.74	12.80	268.29
1000.00	418	3884.85	1588.17	9.67	269.76
1000.00	452	2793.34	2060.77	8.91	264.79
1000.00	446	4028.80	2265.02	6.14	101.24
1000.00	451	3752.81	1594.15	6.02	3.46
1000.00	444	4162.44	1585.37	13.51	268.38
1000.00	498	4484.45	2356.59	9.92	288.20
1000.00	462	3150.22	1670.00	15.14	353.21
1000.00	477	3817.03	1563.31	16.11	80.44
1000.00	441	3642.37	2405.56	13.87	186.45
1000.00	489	3578.70	1546.48	15.69	88.15
1000.00	412	2898.97	1847.87	7.63	348.00
1000.00	479	3940.56	1550.96	13.42	88.66
1000.00	448	3155.51	1633.48	14.68	351.59
1000.00	429	2559.08	1858.40	12.57	154.57
1000.00	434	4761.72	1590.83	0.00	88.74
1000.00	487	3972.35	2480.93	7.05	314.10
1000.00	499	2754.44	1523.47	17.57	88.19
1000.00	404	3148.34	1719.79	13.47	355.44
1000.00	470	3631.96	2094.51	9.97	277.80
1000.00	443	3336.59	1948.74	7.10	98.34
1000.00	491	4415.28	2120.06	11.70	109.31
1000.00	432	3852.46	2594.42	7.64	311.74
1000.00	420	4055.75	2565.97	25.58	15.37
1000.00	430	2972.88	2341.36	7.03	98.27
1000.00	493	4058.27	1981.44	13.24	124.95
1000.00	488	3628.23	1245.86	19.28	300.10
1000.00	492	3388.55	1601.07	7.27	180.69
1000.00	442	3513.95	2355.99	12.98	57.09
1000.00	482	2640.35	2289.48	12.54	82.03
1000.00	335	3305.77	2455.41	0.88	208.19
